id,municipio,poblacion_total,poblacion_mayores,porcentaje_mayores
46237,Tavernes Blanques,9222,1768,19.170000000000002
46238,Tavernes de la Valldigna,17222,3640,21.140000000000001
46239,Teresa de Cofrentes,615,264,42.93
46240,Terrateig,287,81,28.219999999999999
46241,Titaguas,485,155,31.960000000000001
46242,Torrebaja,408,127,31.129999999999999
46243,Torrella,134,40,29.850000000000001
46244,Torrent,85142,14023,16.469999999999999
46245,Torres Torres,703,160,22.760000000000002
46246,Tous,1312,306,23.32
46247,Tuéjar,1168,368,31.510000000000002
46248,Turís,7019,1356,19.32
46249,Utiel,11482,2827,24.620000000000001
46250,València,792492,170609,21.530000000000001
46251,Vallada,3065,750,24.469999999999999
46252,Vallanca,128,56,43.75
46253,Vallés,151,23,15.23
46254,Venta del Moro,1180,391,33.140000000000001
46255,Vilallonga/Villalonga,4555,893,19.600000000000001
46256,Vilamarxant,10348,1805,17.440000000000001
46257,Castelló,6932,1399,20.18
46258,Villar del Arzobispo,3581,889,24.829999999999998
46259,Villargordo del Cabriel,602,180,29.899999999999999
46260,Vinalesa,3525,594,16.850000000000001
46261,Yátova,2169,492,22.68
46262,"Yesa, La",227,85,37.439999999999998
46263,Zarra,370,157,42.43
46902,Gátova,412,123,29.850000000000001
46903,San Antonio de Benagéber,9874,1180,11.949999999999999
46904,Benicull de Xúquer,1102,187,16.969999999999999
47001,Adalia,54,19,35.189999999999998
47002,Aguasal,19,6,31.579999999999998
47003,Aguilar de Campos,276,86,31.16
47004,Alaejos,1385,409,29.530000000000001
47005,Alcazarén,643,184,28.620000000000001
47006,Aldea de San Miguel,214,60,28.039999999999999
47007,Aldeamayor de San Martín,5896,514,8.7200000000000006
47008,Almenara de Adaja,23,11,47.829999999999998
47009,Amusquillo,99,41,41.409999999999997
47010,Arroyo de la Encomienda,21369,1513,7.0800000000000001
47011,Ataquines,548,187,34.119999999999997
47012,Bahabón,93,43,46.240000000000002
47013,Barcial de la Loma,96,46,47.920000000000002
47014,Barruelo del Valle,43,22,51.159999999999997
47015,Becilla de Valderaduey,211,77,36.490000000000002
47016,Benafarces,68,34,50
47017,Bercero,179,76,42.460000000000001
47018,Berceruelo,38,11,28.949999999999999
47019,Berrueces,101,32,31.68
47020,Bobadilla del Campo,281,97,34.520000000000003
47021,Bocigas,77,29,37.659999999999997
47022,Bocos de Duero,85,28,32.939999999999998
47023,Boecillo,4304,534,12.41
47024,Bolaños de Campos,246,89,36.18
47025,Brahojos de Medina,103,45,43.689999999999998
47026,Bustillo de Chaves,68,16,23.530000000000001
47027,Cabezón de Pisuerga,3769,468,12.42
47028,Cabezón de Valderaduey,42,13,30.949999999999999
47029,Cabreros del Monte,53,24,45.280000000000001
47030,Campaspero,1042,375,35.990000000000002
47031,"Campillo, El",202,67,33.170000000000002
47032,Camporredondo,156,47,30.129999999999999
47033,Canalejas de Peñafiel,237,80,33.759999999999998
47034,Canillas de Esgueva,69,34,49.280000000000001
47035,Carpio,967,285,29.469999999999999
47036,Casasola de Arión,217,77,35.479999999999997
47037,Castrejón de Trabancos,177,79,44.630000000000003
47038,Castrillo de Duero,116,41,35.340000000000003
47039,Castrillo-Tejeriego,161,71,44.100000000000001
47040,Castrobol,56,32,57.140000000000001
47041,Castrodeza,149,52,34.899999999999999
47042,Castromembibre,51,15,29.41
47043,Castromonte,314,139,44.270000000000003
47044,Castronuevo de Esgueva,394,82,20.809999999999999
47045,Castronuño,812,294,36.210000000000001
47046,Castroponce,139,41,29.5
47047,Castroverde de Cerrato,203,96,47.289999999999999
47048,Ceinos de Campos,197,60,30.460000000000001
47049,Cervillego de la Cruz,91,43,47.25
47050,Cigales,5286,670,12.67
47051,Ciguñuela,356,75,21.07
47052,Cistérniga,9129,983,10.77
47053,Cogeces de Íscar,144,45,31.25
47054,Cogeces del Monte,630,238,37.780000000000001
47055,Corcos,199,65,32.659999999999997
47056,Corrales de Duero,99,37,37.369999999999997
47057,Cubillas de Santa Marta,368,90,24.460000000000001
47058,Cuenca de Campos,209,86,41.149999999999999
47059,Curiel de Duero,112,31,27.68
47060,Encinas de Esgueva,210,102,48.57
47061,Esguevillas de Esgueva,269,120,44.609999999999999
47062,Fombellida,181,76,41.990000000000002
47063,Fompedraza,109,27,24.77
47064,Fontihoyuelo,37,9,24.32
47065,Fresno el Viejo,860,279,32.439999999999998
47066,Fuensaldaña,2025,303,14.960000000000001
47067,Fuente el Sol,156,55,35.259999999999998
47068,Fuente-Olmedo,36,14,38.890000000000001
47069,Gallegos de Hornija,110,41,37.270000000000003
47070,Gatón de Campos,29,16,55.170000000000002
47071,Geria,504,99,19.640000000000001
47073,Herrín de Campos,123,55,44.719999999999999
47074,Hornillos de Eresma,174,52,29.890000000000001
47075,Íscar,6302,1300,20.629999999999999
47076,Laguna de Duero,22642,4032,17.809999999999999
47077,Langayo,254,106,41.729999999999997
47078,Lomoviejo,172,53,30.809999999999999
47079,Llano de Olmedo,52,15,28.850000000000001
47080,Manzanillo,54,9,16.670000000000002
47081,Marzales,45,17,37.780000000000001
47082,Matapozuelos,1001,243,24.280000000000001
47083,Matilla de los Caños,99,29,29.289999999999999
47084,Mayorga,1455,415,28.52
47085,Medina del Campo,20183,4527,22.43
47086,Medina de Rioseco,4493,1094,24.350000000000001
47087,Megeces,434,143,32.950000000000003
47088,Melgar de Abajo,116,42,36.210000000000001
47089,Melgar de Arriba,168,56,33.329999999999998
47090,Mojados,3312,558,16.850000000000001
47091,Monasterio de Vega,81,33,40.740000000000002
47092,Montealegre de Campos,104,32,30.77
47093,Montemayor de Pililla,856,269,31.43
47094,Moral de la Reina,151,55,36.420000000000002
47095,Moraleja de las Panaderas,42,18,42.859999999999999
47096,Morales de Campos,135,55,40.740000000000002
47097,Mota del Marqués,332,123,37.049999999999997
47098,Mucientes,659,169,25.640000000000001
47099,"Mudarra, La",165,62,37.579999999999998
47100,Muriel,118,61,51.689999999999998
47101,Nava del Rey,1951,552,28.289999999999999
47102,Nueva Villa de las Torres,282,105,37.229999999999997
47103,Olivares de Duero,307,80,26.059999999999999
47104,Olmedo,3554,805,22.649999999999999
47105,Olmos de Esgueva,186,59,31.719999999999999
47106,Olmos de Peñafiel,42,24,57.140000000000001
47109,Palazuelo de Vedija,168,52,30.949999999999999
47110,"Parrilla, La",487,164,33.68
47111,"Pedraja de Portillo, La",1138,283,24.870000000000001
47112,Pedrajas de San Esteban,3371,704,20.879999999999999
47113,Pedrosa del Rey,147,57,38.780000000000001
47114,Peñafiel,5104,1109,21.73
47115,Peñaflor de Hornija,337,107,31.75
47116,Pesquera de Duero,428,137,32.009999999999998
47117,Piña de Esgueva,318,97,30.5
47118,Piñel de Abajo,152,58,38.159999999999997
47119,Piñel de Arriba,90,41,45.560000000000002
47121,Pollos,614,213,34.689999999999998
47122,Portillo,2382,644,27.039999999999999
47123,Pozal de Gallinas,527,133,25.239999999999998
47124,Pozaldez,498,166,33.329999999999998
47125,Pozuelo de la Orden,49,19,38.780000000000001
47126,Puras,44,16,36.359999999999999
47127,Quintanilla de Arriba,158,52,32.909999999999997
47128,Quintanilla del Molar,53,16,30.190000000000001
47129,Quintanilla de Onésimo,1014,280,27.609999999999999
47130,Quintanilla de Trigueros,104,36,34.619999999999997
47131,Rábano,173,81,46.82
47132,Ramiro,47,21,44.68
47133,Renedo de Esgueva,3908,345,8.8300000000000001
47134,Roales de Campos,175,64,36.57
47135,Robladillo,87,35,40.229999999999997
47137,Roturas,30,15,50
47138,Rubí de Bracamonte,213,68,31.920000000000002
47139,Rueda,1140,309,27.109999999999999
47140,Saelices de Mayorga,110,58,52.729999999999997
47141,Salvador de Zapardiel,105,39,37.140000000000001
47142,San Cebrián de Mazote,114,57,50
47143,San Llorente,105,55,52.380000000000003
47144,San Martín de Valvení,78,19,24.359999999999999
47145,San Miguel del Arroyo,646,223,34.520000000000003
47146,San Miguel del Pino,355,65,18.309999999999999
47147,San Pablo de la Moraleja,111,45,40.539999999999999
47148,San Pedro de Latarce,448,149,33.259999999999998
47149,San Pelayo,48,11,22.920000000000002
47150,San Román de Hornija,301,107,35.549999999999997
47151,San Salvador,23,6,26.09
47152,Santa Eufemia del Arroyo,69,28,40.579999999999998
47153,Santervás de Campos,105,53,50.479999999999997
47154,Santibáñez de Valcorba,183,78,42.619999999999997
47155,Santovenia de Pisuerga,4612,516,11.19
47156,San Vicente del Palacio,158,67,42.409999999999997
47157,Sardón de Duero,596,169,28.359999999999999
